EntrezGeneID,control.1,control.2,control.3,control.4,control.5,case.1,case.2,case.3,case.4,case.5
10,2.840332,2.961529,3.14117,3.000209,3.105509,2.744687,3.105175,2.898894,2.844884,2.96617
100,4.128707,4.427107,4.18285,5.392086,4.6946925,5.0047775,5.209021,5.5474675,4.8856515,5.763047
1000,6.845821,8.1961235,5.568838,5.8339,5.153876,7.129954,6.7055605,5.666397,5.4025975,6.366199
10000,4.330265667,4.943449,3.37637,4.273421,5.148195,4.669255667,4.178147333,3.945790333,3.497507,5.092795667
100008586,3.0841854,3.1607724,3.2388972,2.992744,3.062233,2.9417592,2.9944068,5.405756,3.0282346,3.0773706
10001,5.041448667,4.558348,4.35016,4.995860667,4.345353667,3.983882333,4.473346667,4.319935,4.849456667,5.718568
10002,4.0285425,3.9984545,3.994534,3.3006795,3.976638,3.7718035,3.901942,3.6219325,4.103103,3.42496
10003,3.086628,3.211756,2.857717,2.931535,3.046322,3.130094,2.912013,2.643709,3.143855,2.997204
100033444,5.324875333,4.731039333,4.646446,4.576784,3.991104667,5.301731333,3.384722333,3.614963,4.757844667,5.247885
100033450,5.324875333,4.731039333,4.646446,4.576784,3.991104667,5.301731333,3.384722333,3.614963,4.757844667,5.247885
100033802,5.324875333,4.731039333,4.646446,4.576784,3.991104667,5.301731333,3.384722333,3.614963,4.757844667,5.247885
100033820,5.324875333,4.731039333,4.646446,4.576784,3.991104667,5.301731333,3.384722333,3.614963,4.757844667,5.247885
10004,2.956665,3.131306,3.061392,3.00063,3.211994,3.08467,3.147321,3.325801,3.404109,3.336219
100049076,3.818599,3.503304,4.200472,3.467407,4.7386035,3.3886335,3.82971,3.6164685,3.858829,3.298132
10005,4.993862,6.622092,4.678723,5.765706,5.686635,6.700048,5.995821,6.624247,5.75199,6.164026
10006,6.9955095,7.3788315,6.881094,7.261972,7.8325255,6.7681425,6.764352,7.616125,7.017553,7.098259
10007,7.646808,7.328453,7.574236,7.940422,7.601734,7.984623,7.144748,8.374281,8.416925,8.462963
10009,2.289953,2.492664,2.595339,2.58365,2.48879,2.434132,2.646752,2.896961,2.523562,2.618196
100093631,10.1974815,9.705318,10.103847,9.24112,9.9654955,9.460602,10.0759805,9.818986,9.8248995,9.0459945
100093698,2.775845,2.597494,2.766892,2.579684,2.751716,2.629574,2.791813,2.616864,2.567252,2.618186
